time,aswdifd_s,aswdir_s,t_2m,t_g
2016-10-16 00:00:00,0.0,0.0,284.10916137695312,287.43409729003906
2016-10-16 01:00:00,0.0,0.0,284.24240112304688,287.67262268066406
2016-10-16 02:00:00,0.0,0.0,284.30911254882812,287.74559020996094
2016-10-16 03:00:00,0.0,0.0,284.51028442382812,287.8343505859375
2016-10-16 04:00:00,0.0,0.0,284.54470825195312,287.79367065429688
2016-10-16 05:00:00,0.421875,0.0,284.5457763671875,287.76097106933594
2016-10-16 06:00:00,16.66796875,0.6015625,284.68588256835938,288.11026000976562
2016-10-16 07:00:00,43.94140625,1.9609375,284.69827270507812,288.4859619140625
2016-10-16 08:00:00,75.3046875,2.6406228542327881,285.04177856445312,288.82083129882812
2016-10-16 09:00:00,114.0669606924057,-0.43749904632568359,285.6517333984375,289.31597900390625
2016-10-16 10:00:00,148.33809053897858,26.773438692092896,286.7412109375,290.0447998046875
2016-10-16 11:00:00,149.6991548538208,176.02343732118607,287.64453125,290.69589233398438
2016-10-16 12:00:00,132.445152759552,306.24218758195639,288.55038452148438,291.72869873046875
2016-10-16 13:00:00,82.046404361724854,314.38281254470348,288.92059326171875,291.40316772460938
2016-10-16 14:00:00,69.619912147521973,189.46875005215406,288.9471435546875,290.97552490234375
2016-10-16 15:00:00,45.398422241210938,62.593749940395355,288.50894165039062,289.96298217773438
2016-10-16 16:00:00,5.851564884185791,2.5703124962747097,287.98870849609375,288.48513793945312
2016-10-16 17:00:00,0.0078139305114746094,-0.0078125037252902985,287.02474975585938,288.35076904296875
2016-10-16 18:00:00,0.011723518371582031,-0.10937507450580597,285.90176391601562,288.28097534179688
2016-10-16 19:00:00,0.019537925720214844,0.10937506705522537,285.44073486328125,288.1256103515625
2016-10-16 20:00:00,-0.042967319488525391,0.082031168043613434,285.20211791992188,288.2822265625
2016-10-16 21:00:00,0.027328968048095703,-0.16796867549419403,285.15548706054688,288.16021728515625
2016-10-16 22:00:00,-0.027341365814208984,0.070312581956386566,285.27719116210938,288.24774169921875
