time,aswdifd_s,aswdir_s,t_2m,t_g
2015-10-10 00:00,2034.24,1791.5083333333334,277.764404296875,279.120849609375
2015-10-11 01:00,0,0,277.677490234375,279.064208984375
2015-10-11 02:00,0.0,0.0,277.46728515625,278.9140625
2015-10-11 03:00,0.0,0.0,277.481689453125,278.899658203125
2015-10-11 04:00,0.0,0.0,277.400634765625,278.8173828125
2015-10-11 05:00,0.0,0.0,277.188720703125,278.68408203125
2015-10-11 06:00,2.0588888888888888,1.8138888888888889,277.042724609375,278.56787109375
2015-10-11 07:00,39.11222222222222,34.46222222222222,277.500732421875,278.876953125
2015-10-11 08:00,144.4361111111111,127.24222222222222,277.51220703125,278.92724609375
2015-10-11 09:00,211.775,186.55055555555555,278.422119140625,279.37109375
2015-10-11 10:00,327.7077777777778,288.6672222222222,279.576416015625,280.129638671875
2015-10-11 11:00,339.0444444444444,298.64222222222224,280.484130859375,280.914306640625
2015-10-11 12:00,365.6377777777778,322.05444444444447,280.98681640625,281.546630859375
2015-10-11 13:00,375.8538888888889,331.0722222222222,281.342529296875,281.99755859375
2015-10-11 14:00,310.32722222222225,273.3616666666667,281.3388671875,282.0947265625
2015-10-11 15:00,221.4711111111111,195.10777777777778,280.7138671875,281.76123046875
2015-10-11 16:00,112.15555555555555,98.80055555555556,279.824951171875,281.085693359375
2015-10-11 17:00,17.67888888888889,15.574444444444444,278.851806640625,280.200927734375
2015-10-11 18:00,0.0,0.0,278.043701171875,279.49951171875
2015-10-11 19:00,0.0,0.0,277.56884765625,279.083740234375
2015-10-11 20:00,0.0,0.0,277.464599609375,278.540771484375
2015-10-11 21:00,0.0,0.0,277.409912109375,277.861083984375
2015-10-11 22:00,0.0,0.0,277.37646484375,277.39794921875
2015-10-11 23:00,0.0,0.0,277.315673828125,277.29443359375
