time,value
2015-10-11 13:40:00,533.143240451875
2015-10-11 13:45:00,340.72958119806674
2015-10-11 13:50:00,455.31608581524995
2015-10-11 13:55:00,457.18951129975005
2015-10-11 14:00:00,327.4424317671666
2015-10-11 14:05:00,600.1439329785001
2015-10-11 14:10:00,478.29524517050004
2015-10-11 14:15:00,261.3190390268
2015-10-11 14:20:00,480.422570704625
2015-10-11 14:25:00,528.2219403583
2015-10-11 14:30:00,252.36666615806666
2015-10-11 14:35:00,419.5847705843001
2015-10-11 14:40:00,610.3428427368332
2015-10-11 14:45:00,463.68420410150003
2015-10-11 14:50:00,408.28182363512497
2015-10-11 14:55:00,381.25774879510004
2015-10-11 15:00:00,251.99337959283335
2015-10-11 15:05:00,303.495941162
2015-10-11 15:10:00,432.2592201233667
2015-10-11 15:15:00,139.372408866775
2015-10-11 15:20:00,259.8666667938333
2015-10-11 15:25:00,142.924192905375
2015-10-11 15:30:00,112.98245239266667
2015-10-11 15:35:00,92.95713949212501
2015-10-11 15:40:00,84.74094295500001
2015-10-11 15:45:00,53.705774943
2015-10-11 15:50:00,42.441177368249996
2015-10-11 15:55:00,88.44780159005
2015-10-11 16:00:00,61.738367080799996
2015-10-11 16:05:00,-10.099999904625001
2015-10-11 16:10:00,44.21686935425
2015-10-11 16:15:00,-13.200000127166666
2015-10-11 16:20:00,36.19336557385001
2015-10-11 16:25:00,-9.900000095374999
2015-10-11 16:30:00,-13.866666158066666
2015-10-11 16:35:00,-10.85000038145
2015-10-11 16:40:00,-10.39999961855
2015-10-11 16:45:00,-13.599999745666667
2015-10-11 16:50:00,-10.0
2015-10-11 16:55:00,-9.900000095374999
2015-10-11 17:00:00,-13.066666921
2015-10-11 17:05:00,-9.72499990465
2015-10-11 17:10:00,-10.099999904625001
2015-10-11 17:15:00,-14.3000005086
2015-10-11 17:20:00,-10.5
2015-10-11 17:25:00,-6.933333079033333
2015-10-11 17:30:00,-15.19999980925
2015-10-11 17:35:00,0.0
2015-10-11 17:40:00,0.0
2015-10-11 17:45:00,0.0
2015-10-11 17:50:00,0.0
2015-10-11 17:55:00,0.0
2015-10-11 18:00:00,0.0
2015-10-11 18:05:00,0.0
2015-10-11 18:10:00,0.0
2015-10-11 18:15:00,0.0
2015-10-11 18:20:00,0.0
2015-10-11 18:25:00,0.0
2015-10-11 18:30:00,0.0
2015-10-11 18:35:00,0.0
2015-10-11 18:40:00,0.0
2015-10-11 18:45:00,0.0
2015-10-11 18:50:00,0.0
2015-10-11 18:55:00,0.0
2015-10-11 19:05:00,0.0
2015-10-11 19:10:00,0.0
2015-10-11 19:15:00,0.0
2015-10-11 19:20:00,0.0
2015-10-11 19:25:00,0.0
2015-10-11 19:30:00,0.0
2015-10-11 19:35:00,0.0
2015-10-11 19:40:00,0.0
2015-10-11 19:45:00,0.0
2015-10-11 19:50:00,0.0
2015-10-11 19:55:00,0.0
2015-10-11 20:00:00,0.0
2015-10-11 20:05:00,0.0
2015-10-11 20:10:00,0.0
2015-10-11 20:15:00,0.0
2015-10-11 20:20:00,0.0
2015-10-11 20:25:00,0.0
2015-10-11 20:30:00,0.0
2015-10-11 20:35:00,0.0
2015-10-11 20:40:00,0.0
2015-10-11 20:45:00,0.0
2015-10-11 20:50:00,0.0
2015-10-11 20:55:00,0.0
2015-10-11 21:00:00,0.0
2015-10-11 21:05:00,0.0
2015-10-11 21:10:00,0.0
2015-10-11 21:15:00,0.0
2015-10-11 21:20:00,0.0
2015-10-11 21:25:00,0.0
2015-10-11 21:30:00,0.0
2015-10-11 21:35:00,0.0
2015-10-11 21:40:00,0.0
2015-10-11 21:45:00,0.0
2015-10-11 21:50:00,0.0
2015-10-11 21:55:00,0.0
2015-10-11 22:00:00,0.0
2015-10-11 22:05:00,0.0
2015-10-11 22:10:00,0.0
2015-10-11 22:15:00,0.0
2015-10-11 22:20:00,0.0
2015-10-11 22:25:00,0.0
2015-10-11 22:30:00,0.0
2015-10-11 22:35:00,0.0
2015-10-11 22:40:00,0.0
2015-10-11 22:45:00,0.0
2015-10-11 22:50:00,0.0
2015-10-11 22:55:00,0.0
2015-10-11 23:00:00,0.0
2015-10-11 23:05:00,0.0
2015-10-11 23:10:00,0.0
2015-10-11 23:15:00,0.0
2015-10-11 23:20:00,0.0
2015-10-11 23:25:00,0.0
2015-10-11 23:30:00,0.0
2015-10-11 23:35:00,0.0
2015-10-11 23:40:00,0.0
2015-10-11 23:45:00,0.0
2015-10-11 23:50:00,0.0
2015-10-11 23:55:00,0.0
