time,yield,1,2
2015-03-06 01:00:00+01:00,0.0,0.0,0.0
2015-03-06 02:00:00+01:00,0.0,0.0,0.0
2015-03-06 03:00:00+01:00,0.0,0.0,0.0
2015-03-06 04:00:00+01:00,0.0,0.0,0.0
2015-03-06 05:00:00+01:00,0.4224652402687615,0.21123262013438074,0.21123262013438074
2015-03-06 06:00:00+01:00,89.09193914228095,44.545969571140475,44.545969571140475
2015-03-06 07:00:00+01:00,18054.841202817737,9027.420601408869,9027.420601408869
2015-03-06 08:00:00+01:00,36157.55848527803,18078.779242639015,18078.779242639015
2015-03-06 09:00:00+01:00,60137.870266153914,30068.935133076957,30068.935133076957
2015-03-06 10:00:00+01:00,87704.37464588613,43852.187322943064,43852.187322943064
2015-03-06 11:00:00+01:00,117403.68380892856,58701.84190446428,58701.84190446428
2015-03-06 12:00:00+01:00,148057.91367981755,74028.95683990877,74028.95683990877
2015-03-06 13:00:00+01:00,177379.64839539767,88689.82419769884,88689.82419769884
2015-03-06 14:00:00+01:00,206393.636298364,103196.818149182,103196.818149182
2015-03-06 15:00:00+01:00,231775.13001813056,115887.56500906528,115887.56500906528
2015-03-06 16:00:00+01:00,251688.33970254808,125844.16985127404,125844.16985127404
2015-03-06 17:00:00+01:00,266228.3436752247,133114.17183761235,133114.17183761235
2015-03-06 18:00:00+01:00,267922.02405632084,133961.01202816042,133961.01202816042
2015-03-06 19:00:00+01:00,267931.1718161339,133965.58590806695,133965.58590806695
2015-03-06 20:00:00+01:00,267931.78852581105,133965.89426290552,133965.89426290552
2015-03-06 21:00:00+01:00,267931.78852581105,133965.89426290552,133965.89426290552
2015-03-06 22:00:00+01:00,267931.78852581105,133965.89426290552,133965.89426290552
2015-03-06 23:00:00+01:00,267931.78852581105,133965.89426290552,133965.89426290552
2015-03-07 00:00:00+01:00,267931.78852581105,133965.89426290552,133965.89426290552
